1,2,3,4,5,6,7,8,9,10
0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00
0.02,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.00,0.00
0.02,0.01,0.00,0.00,0.01,0.03,0.05,0.07,0.02,0.00
0.02,0.01,0.00,0.01,0.02,0.04,0.11,0.11,0.04,0.01
0.02,0.01,0.01,0.02,0.03,0.05,0.11,0.10,0.06,0.01
0.03,0.01,0.01,0.02,0.04,0.07,0.11,0.08,0.06,0.02
0.03,0.01,0.05,0.05,0.06,0.14,0.16,0.17,0.10,0.06
0.05,0.04,0.05,0.08,0.14,0.14,0.09,0.07,0.09,0.10
0.09,0.11,0.16,0.15,0.16,0.15,0.14,0.12,0.20,0.17
0.14,0.17,0.24,0.23,0.20,0.18,0.11,0.11,0.20,0.22
0.16,0.23,0.20,0.25,0.21,0.11,0.05,0.07,0.18,0.31